

December,,,,,OnChesis
Date,In,Out,,,NoteSheet
01.10.21,1000.00,180.00,,,12.00
02.10.21,1100.00,235.00
03.10.21,0.00,325.00
04.10.21,550.00,712.00
05.10.21,0.00,120.00
06.10.21,0.00,200.00
07.10.21,0.00,225.00
08.10.21,0.00,100.00
09.10.21,6000.00,0.00
10.10.21,0.00,0.00
11.10.21,0.00,0.00
12.10.21,0.00,4800.00
13.10.21,0.00,0.00
14.10.21,0.00,0.00
15.10.21,0.00,0.00
16.10.21,0.00,0.00
17.10.21,0.00,0.00
18.10.21,0.00,0.00
19.10.21,0.00,0.00
20.10.21,0.00,0.00
21.10.21,0.00,0.00
22.10.21,0.00,0.00
23.10.21,0.00,0.00
24.10.21,0.00,0.00
25.10.21,0.00,0.00
26.10.21,0.00,0.00
27.10.21,0.00,0.00
28.10.21,0.00,0.00
29.10.21,0.00,0.00
30.10.21,0.00,0.00
31.10.21,0.00,0.00


November
Date,In,Out
01.10.21,0.00,0.00
02.10.21,700.00,200.00
03.10.21,1000.00,0.00
04.10.21,600.00,0.00
05.10.21,0.00,0.00
06.10.21,0.00,0.00
07.10.21,0.00,0.00
08.10.21,4000.00,0.00
09.10.21,0.00,2500.00
10.10.21,0.00,0.00
11.10.21,2000.00,0.00
12.10.21,0.00,0.00
13.10.21,0.00,0.00
14.10.21,0.00,3000.00
15.10.21,1000.00,0.00
16.10.21,300.00,0.00
17.10.21,0.00,0.00
18.10.21,750.00,0.00
19.10.21,0.00,0.00
20.10.21,0.00,0.00
21.10.21,700.00,0.00
22.10.21,0.00,0.00
23.10.21,0.00,0.00
24.10.21,1500.00,0.00
25.10.21,0.00,0.00
26.10.21,0.00,0.00
27.10.21,0.00,4100.00
28.10.21,0.00,0.00
29.10.21,0.00,0.00
30.10.21,0.00,0.00
31.10.21,1000.00,0.00
,13550.00,9800.00,3750.00

October
Date,In,Out
01.10.21,0.00,0.00
02.10.21,0.00,0.00
03.10.21,0.00,0.00
04.10.21,250.00,0.00
05.10.21,300.00,0.00
06.10.21,500.00,0.00
07.10.21,500.00,0.00
08.10.21,0.00,300.00
09.10.21,0.00,0.00
10.10.21,0.00,500.00
11.10.21,300.00,0.00
12.10.21,3000.00,0.00
13.10.21,300.00,4000.00
14.10.21,300.00,0.00
15.10.21,0.00,300.00
16.10.21,0.00,0.00
17.10.21,1700.00,0.00
18.10.21,0.00,0.00
19.10.21,0.00,0.00
20.10.21,600.00,0.00
21.10.21,1000.00,700.00
22.10.21,0.00,0.00
23.10.21,500.00,4000.00
24.10.21,500.00,0.00
25.10.21,300.00,0.00
26.10.21,0.00,0.00
27.10.21,100.00,0.00
28.10.21,400.00,0.00
29.10.21,0.00,0.00
30.10.21,0.00,3060.00
31.10.21,0.00,0.00
,10550.00,12860.00,-2310.00

September
Date,In,Out
01.09.21,0.00,0.00
02.09.21,1100.00,0.00
03.09.21,0.00,210.00
04.09.21,0.00,450.00
05.09.21,500.00,4540.00
06.09.21,1500.00,0.00
07.09.21,500.00,400.00
08.09.21,0.00,50.00
09.09.21,5000.00,636.00
10.09.21,0.00,5200.00
11.09.21,0.00,0.00
12.09.21,0.00,100.00
13.09.21,0.00,0.00
14.09.21,0.00,0.00
15.09.21,0.00,0.00
16.09.21,0.00,0.00
17.09.21,0.00,0.00
18.09.21,0.00,0.00
19.09.21,0.00,0.00
20.09.21,3000.00,190.00
21.09.21,0.00,520.00
22.09.21,0.00,0.00
23.09.21,0.00,0.00
24.09.21,0.00,0.00
25.09.21,0.00,0.00
26.09.21,0.00,200.00
27.09.21,0.00,3000.00
28.09.21,600.00,50.00
29.09.21,100.00,220.00
30.09.21,300.00,30.00
,12600.00,15796.00,-3196.00

August
Date,In,Out
24.08.21,1000.00
25.08.21,1000.00
26.08.21,1000.00,80.00
27.08.21,0.00,450.00
28.08.21,0.00,1080.00
29.08.21,1500.00,0.00
30.08.21,0.00,200.00
31.08.21,550.00,95.00
,5050.00,1905.00,3145.00
